smile,0,0,"미소,웃음,표정","웃는 표정"
grin,0,0,"활짝웃음,씨익,표정","이를 드러내며 활짝 웃음"
light_smile,0,0,"엷은미소,표정","살짝 미소 짓는 표정"
laughing,0,0,"크게웃음,표정","소리 내어 크게 웃음"
blush,0,0,"홍조,볼빨개짐,표정","볼이 붉어진 상태"
open_mouth,0,0,"입벌림,표정","입을 벌린 표정"
closed_mouth,0,0,"입다묾,표정","입을 다문 표정"
crying,0,0,"울음,우는얼굴,표정","울고 있는 표정"
tears,0,0,"눈물,표정","눈물을 흘림"
angry,0,0,"화남,화난얼굴,표정","화난 표정"
annoyed,0,0,"짜증,표정","짜증난 표정"
surprised,0,0,"놀람,표정","놀란 표정"
embarrassed,0,0,"부끄러움,당황,표정","부끄러워하는 표정"
serious,0,0,"진지함,표정","진지한 표정"
smug,0,0,"거만한표정,득의양양,표정","우쭐대는 표정"
expressionless,0,0,"무표정,표정","감정이 드러나지 않는 표정"
pout,0,0,"삐침,입삐죽,표정","입을 삐죽 내민 표정"
seductive_smile,0,0,"유혹적인미소,표정","유혹하는 듯한 미소"
nervous,0,0,"긴장,표정","긴장한 표정"
tongue_out,0,0,"혀내밀기,표정","혀를 내민 표정"
licking_lips,0,0,"입술핥기,표정","입술을 핥는 모습"
one_eye_closed,0,0,"윙크,한쪽눈감기,표정","한쪽 눈을 감은 표정"
blue_eyes,0,0,"파란눈,청안,눈","파란색 눈동자"
red_eyes,0,0,"빨간눈,적안,눈","빨간색 눈동자"
green_eyes,0,0,"초록눈,녹안,눈","초록색 눈동자"
brown_eyes,0,0,"갈색눈,눈","갈색 눈동자"
purple_eyes,0,0,"보라눈,자안,눈","보라색 눈동자"
yellow_eyes,0,0,"노란눈,눈","노란색 눈동자"
pink_eyes,0,0,"분홍눈,눈","분홍색 눈동자"
aqua_eyes,0,0,"하늘색눈,눈","하늘색 눈동자"
black_eyes,0,0,"검은눈,눈","검은색 눈동자"
heterochromia,0,0,"오드아이,눈","좌우 눈동자 색이 다름"
closed_eyes,0,0,"감은눈,눈","눈을 감은 상태"
glowing_eyes,0,0,"빛나는눈,눈","빛나는 눈동자"
glasses,0,0,"안경,눈","안경 착용"
sunglasses,0,0,"선글라스,눈","선글라스 착용"
eyepatch,0,0,"안대,눈","한쪽 눈을 가린 안대"
long_hair,0,0,"긴머리,장발,머리","긴 머리카락"
short_hair,0,0,"단발,짧은머리,머리","짧은 머리카락"
very_long_hair,0,0,"아주긴머리,머리","아주 긴 머리카락"
medium_hair,0,0,"중간머리,머리","어깨 정도 길이의 머리"
twintails,0,0,"트윈테일,쌍갈래머리,머리","좌우로 묶은 두 갈래 머리"
ponytail,0,0,"포니테일,말총머리,머리","하나로 묶어 늘어뜨린 머리"
twin_braids,0,0,"양갈래땋기,머리","좌우로 땋은 두 갈래 머리"
braid,0,0,"땋은머리,머리","땋은 머리"
side_braid,0,0,"옆땋기,머리","한쪽으로 땋아 늘어뜨린 머리"
bob_cut,0,0,"보브컷,머리","단정한 단발 보브 스타일"
