nipples,0,0,"유두,젖꼭지,신체","젖꼭지가 드러난 상태"
pussy,0,0,"보지,음부,여성기,신체","여성 성기 노출"
penis,0,0,"자지,음경,남성기,신체","남성 성기"
anus,0,0,"항문,신체","항문 노출"
testicles,0,0,"고환,불알,신체","남성 고환"
pubic_hair,0,0,"음모,신체","음부의 털"
clitoris,0,0,"음핵,클리토리스,신체","여성 음핵"
erection,0,0,"발기,신체","음경이 발기한 상태"
nude,0,0,"나체,알몸,누드,노출","옷을 전혀 입지 않은 상태"
topless,0,0,"토플리스,상의탈의,노출","상의를 벗어 가슴이 드러난 상태"
bottomless,0,0,"하의탈의,노출","하의를 입지 않은 상태"
no_panties,0,0,"노팬티,노출","팬티를 입지 않음"
no_bra,0,0,"노브라,노출","브라를 착용하지 않음"
breasts_out,0,0,"가슴노출,노출","옷 밖으로 가슴을 꺼낸 상태"
nipple_slip,0,0,"유두노출,노출","옷 사이로 젖꼭지가 드러남"
clothes_lift,0,0,"옷들추기,노출","옷을 들어 올려 속을 드러냄"
skirt_lift,0,0,"치마들추기,노출","치마를 들어 올림"
shirt_lift,0,0,"셔츠들추기,노출","셔츠를 들어 올림"
bra_lift,0,0,"브라들추기,노출","브라를 들어 올려 가슴을 드러냄"
panty_pull,0,0,"팬티내리기,노출","팬티를 잡아 내림"
clothing_aside,0,0,"옷젖히기,노출","옷을 옆으로 젖혀 성기 등을 드러냄"
undressing,0,0,"옷벗기,탈의,노출","옷을 벗는 중"
spread_pussy,0,0,"음부벌리기,노출","손으로 여성 성기를 벌림"
sex,0,0,"섹스,성교,행위","성행위"
vaginal,0,0,"질삽입,행위","질에 삽입하는 성행위"
anal,0,0,"항문섹스,애널,행위","항문 성행위"
oral,0,0,"오럴,구강성교,행위","입을 이용한 성행위"
fellatio,0,0,"펠라치오,구강성교,행위","음경을 입으로 자극"
cunnilingus,0,0,"쿤닐링구스,행위","여성 성기를 입으로 자극"
paizuri,0,0,"파이즈리,가슴섹스,행위","가슴으로 음경을 자극"
handjob,0,0,"핸드잡,수음,행위","손으로 음경을 자극"
fingering,0,0,"손가락삽입,행위","손가락으로 성기를 자극"
masturbation,0,0,"자위,행위","스스로 성기를 자극"
footjob,0,0,"풋잡,발사용,행위","발로 음경을 자극"
group_sex,0,0,"그룹섹스,난교,행위","여러 명이 함께하는 성행위"
